datum,fapar,tavg,tmin,tmax,rad,prec
2016-01-01,,6.00,2.70,10.50,2390.00,3.77
2016-01-11,,0.60,-7.40,7.50,3100.00,2.76
2016-01-21,0.40,6.70,-1.40,12.40,3148.00,3.12
2016-02-01,0.42,7.00,2.20,11.20,3226.00,4.21
2016-02-11,0.43,2.30,-6.00,10.30,6237.00,2.45
2016-02-21,0.41,3.10,-3.60,11.70,7817.00,2.13
2016-03-01,0.40,2.60,-4.40,9.70,7720.00,3.19
2016-03-11,0.41,3.70,-2.30,10.00,11524.00,0.12
2016-03-21,0.44,7.30,0.60,13.30,9405.00,2.83
2016-04-01,0.48,9.60,1.10,19.10,13633.00,1.38
2016-04-11,0.57,8.90,0.20,18.20,16928.00,1.84
2016-04-21,0.66,6.30,-0.70,17.40,15628.00,3.73
2016-05-01,0.80,13.40,1.90,23.50,22486.00,0.47
2016-05-11,0.82,12.80,5.40,22.70,16986.00,1.37
2016-05-21,0.85,14.70,6.10,22.20,13707.00,8.21
2016-06-01,0.84,17.10,9.10,24.80,19881.00,4.36
2016-06-11,0.84,14.70,9.00,20.90,14986.00,5.20
2016-06-21,0.86,17.50,11.30,29.90,15980.00,2.01
2016-07-01,0.84,17.20,10.90,26.30,19424.00,1.20
2016-07-11,0.84,18.40,10.00,29.90,19570.00,1.12
2016-07-21,0.85,18.90,13.60,25.40,16092.00,3.41
2016-08-01,0.86,16.40,10.00,23.70,14246.00,2.93
2016-08-11,0.88,17.60,8.50,24.60,17023.00,1.14
2016-08-21,0.90,20.90,12.50,33.00,17978.00,0.47
2016-09-01,0.89,18.30,12.00,26.60,15048.00,0.59
2016-09-11,0.89,19.20,12.00,30.70,13117.00,1.41
2016-09-21,0.87,15.80,7.00,23.10,11865.00,0.52
2016-10-01,0.85,10.60,5.20,18.80,8604.00,1.19
2016-10-11,0.78,10.20,2.40,19.70,6603.00,1.88
2016-10-21,0.65,9.40,3.30,15.60,5666.00,0.39
2016-11-01,0.39,5.90,1.10,14.10,4384.00,2.85
2016-11-11,,6.70,-1.30,12.70,2706.00,3.83
2016-11-21,,4.90,-4.50,13.30,3762.00,0.51
2016-12-01,,4.00,-4.00,10.90,3306.00,0.44
2016-12-11,,5.10,-2.80,10.00,2552.00,0.40
2016-12-21,,3.30,-4.40,10.50,2832.00,1.29
2017-01-01,,0.70,-5.90,5.60,2502.00,1.14
2017-01-11,,0.00,-6.00,9.00,3906.00,3.54
2017-01-21,0.47,1.00,-5.60,9.30,4600.00,0.98
2017-02-01,0.47,4.80,-3.20,12.50,3558.00,2.61
2017-02-11,0.44,5.30,-1.30,14.20,5824.00,0.61
2017-02-21,0.44,7.10,0.20,10.80,4636.00,2.68
2017-03-01,0.45,6.80,-0.50,13.00,6676.00,3.22
2017-03-11,0.46,9.20,1.80,16.90,9471.00,0.87
2017-03-21,0.50,9.80,1.40,20.50,15636.00,0.35
2017-04-01,0.60,9.40,2.50,20.80,13431.00,0.13
2017-04-11,0.68,7.30,-0.50,15.10,14430.00,1.64
2017-04-21,0.80,7.70,-0.50,18.50,16228.00,1.01
2017-05-01,0.84,10.20,2.10,19.90,15188.00,1.31
2017-05-11,0.86,15.70,6.50,26.90,18873.00,2.03
2017-05-21,0.88,18.60,7.30,30.00,22696.00,0.72
2017-06-01,0.87,17.10,10.40,25.80,21805.00,3.02
2017-06-11,0.87,19.70,11.20,30.60,22611.00,0.34
2017-06-21,0.84,19.80,14.00,32.40,19318.00,1.42
2017-07-01,0.84,18.70,8.80,29.10,18670.00,1.71
2017-07-11,0.84,18.70,11.00,30.40,17498.00,2.48
2017-07-21,0.87,18.10,11.10,25.30,16945.00,2.08
2017-08-01,0.89,17.20,10.40,24.10,14970.00,2.00
2017-08-11,0.87,16.80,11.20,23.60,12422.00,2.61
2017-08-21,0.88,19.10,12.60,29.50,15634.00,0.77
2017-09-01,0.86,15.20,7.80,24.70,11127.00,2.97
2017-09-11,0.84,12.40,6.10,17.30,12250.00,2.56
2017-09-21,0.81,14.10,7.30,22.90,11333.00,1.45
2017-10-01,0.78,12.60,8.00,17.90,6358.00,1.59
2017-10-11,0.74,15.70,10.50,23.90,9029.00,0.21
2017-10-21,0.69,11.80,5.40,17.30,4659.00,1.49
2017-11-01,0.66,7.70,-0.40,14.80,4729.00,1.24
2017-11-11,0.72,6.30,1.50,10.10,2846.00,2.46
2017-11-21,,6.00,-0.70,14.30,2723.00,3.81
2017-12-01,,2.70,-1.40,7.70,2116.00,1.84
2017-12-11,,3.50,-0.60,7.60,1951.00,4.27
2017-12-21,,6.70,-1.20,13.50,1537.00,2.80
2018-01-01,,5.80,0.00,12.20,2312.00,3.50
2018-01-11,,3.70,-0.90,9.90,3231.00,2.97
2018-01-21,,7.00,0.70,13.30,2897.00,2.55
2018-02-01,0.40,0.20,-6.50,5.00,5006.00,1.63
2018-02-11,0.46,2.20,-2.40,10.70,7556.00,0.75
2018-02-21,0.45,-2.50,-8.40,4.60,10890.00,0.01
2018-03-01,0.41,4.20,-6.60,14.90,7009.00,2.97
2018-03-11,0.40,4.40,-5.40,16.80,8355.00,2.12
2018-03-21,0.43,5.90,-2.50,14.10,9608.00,3.15
2018-04-01,0.52,10.50,1.60,21.40,14035.00,1.62
2018-04-11,0.64,13.40,5.90,25.50,17823.00,0.87
2018-04-21,0.79,12.40,4.90,24.50,15529.00,2.57
2018-05-01,0.91,13.50,3.30,25.30,22513.00,0.36
2018-05-11,0.88,13.80,4.30,23.70,20406.00,1.06
2018-05-21,0.88,19.10,10.80,27.40,21765.00,4.62
2018-06-01,0.90,18.90,11.30,26.40,19269.00,3.34
2018-06-11,0.92,16.70,9.70,25.30,16379.00,1.29
2018-06-21,0.90,17.50,7.30,28.90,23731.00,0.03
2018-07-01,0.87,20.70,13.20,28.00,24418.00,0.26
2018-07-11,0.84,20.80,11.40,29.30,24335.00,0.10
2018-07-21,0.85,24.10,14.40,34.30,22183.00,0.27
2018-08-01,0.85,23.10,13.20,34.70,22393.00,0.64
2018-08-11,0.84,19.00,12.30,27.00,17250.00,2.76
2018-08-21,0.84,16.80,8.90,25.80,15641.00,1.62
2018-09-01,0.84,16.50,8.20,23.70,12779.00,2.88
2018-09-11,0.84,17.40,7.50,26.00,14405.00,0.47
2018-09-21,0.85,11.20,3.00,20.80,11444.00,3.66
2018-10-01,0.85,12.90,4.70,22.80,10985.00,0.38
2018-10-11,0.79,16.40,7.40,24.50,9131.00,0.04
2018-10-21,0.70,8.50,2.60,16.00,5266.00,2.41
2018-11-01,0.60,9.30,1.00,17.70,5554.00,0.72
2018-11-11,0.46,6.50,0.20,14.70,4604.00,1.54
2018-11-21,,5.60,-0.40,11.80,2529.00,1.71
2018-12-01,,8.50,3.20,13.50,2045.00,4.82
2018-12-11,,3.10,-3.60,8.90,2853.00,2.25
2018-12-21,,4.90,-2.90,13.10,2413.00,1.92
2019-01-01,,4.10,-1.40,7.90,2158.00,1.03
2019-01-11,,3.40,-3.50,8.90,3228.00,1.74
2019-01-21,,0.60,-6.80,8.10,3414.00,3.44
2019-02-01,0.44,4.40,-2.20,9.60,3968.00,4.33
2019-02-11,0.43,6.10,-0.70,15.60,8097.00,0.04
2019-02-21,0.43,7.70,-0.10,16.60,9773.00,0.75
2019-03-01,0.43,8.20,4.20,12.70,6869.00,4.21
2019-03-11,0.44,6.70,-1.70,12.80,7659.00,3.98
2019-03-21,0.48,8.10,1.60,17.70,12453.00,0.35
2019-04-01,0.54,8.60,0.00,16.80,13265.00,3.09
2019-04-11,0.64,9.00,-2.20,22.60,17357.00,0.21
2019-04-21,0.75,12.40,2.40,23.20,17557.00,1.17
2019-05-01,0.84,8.80,1.50,17.20,14206.00,3.26
2019-05-11,0.88,11.10,3.30,19.30,18519.00,1.55
2019-05-21,0.90,14.40,6.40,21.70,20138.00,1.23
2019-06-01,0.91,16.80,8.70,28.40,19380.00,2.80
2019-06-11,0.90,17.00,9.20,25.50,20053.00,3.47
2019-06-21,0.88,21.20,8.80,32.00,26647.00,0.03
2019-07-01,0.87,17.20,8.30,25.70,24296.00,0.36
2019-07-11,0.87,18.10,10.90,25.70,18972.00,1.66
2019-07-21,0.85,22.70,13.00,37.80,21286.00,5.25
2019-08-01,0.87,19.60,12.90,26.90,17430.00,2.59
2019-08-11,0.87,16.80,10.30,22.20,14934.00,3.95
2019-08-21,0.91,20.40,8.70,32.30,20296.00,0.87
2019-09-01,0.92,14.40,7.40,22.40,14633.00,0.82
2019-09-11,0.90,14.60,6.00,23.50,12140.00,0.84
2019-09-21,0.88,15.90,9.20,24.60,8880.00,4.51
2019-10-01,0.83,11.80,7.30,18.00,6492.00,4.34
2019-10-11,0.77,14.10,9.40,23.10,5619.00,4.02
2019-10-21,0.70,10.40,0.80,18.20,6451.00,0.96
2019-11-01,0.75,8.10,1.20,13.70,3915.00,2.90
